Stat Type,Year,Category,State,Transaction Type,Transaction Count,Transaction Amount,Registered Users,Brand,Brand Count,Brand Count Percentage
Transactions,2018_Q1,Aggregate,Nil,Recharge and bill payments,72550406,14472713559,0,Nil,0,0
Transactions,2018_Q1,Aggregate,Nil,Peer-to-peer payments,46982705,147000000000,0,Nil,0,0
Transactions,2018_Q1,Aggregate,Nil,Merchant payments,5368669,4656678915,0,Nil,0,0
Transactions,2018_Q1,Aggregate,Nil,Financial Services,3762820,815853105,0,Nil,0,0
Transactions,2018_Q1,Aggregate,Nil,Others,5761576,4643217301,0,Nil,0,0
Transactions,2018_Q2,Aggregate,Nil,Recharge and bill payments,92033715,24351225616,0,Nil,0,0
Transactions,2018_Q2,Aggregate,Nil,Peer-to-peer payments,74558816,265000000000,0,Nil,0,0
Transactions,2018_Q2,Aggregate,Nil,Merchant payments,10613941,9052859939,0,Nil,0,0
Transactions,2018_Q2,Aggregate,Nil,Financial Services,5186569,1176991419,0,Nil,0,0
Transactions,2018_Q2,Aggregate,Nil,Others,4973199,5027454207,0,Nil,0,0
Transactions,2018_Q3,Aggregate,Nil,Peer-to-peer payments,202021587,426000000000,0,Nil,0,0
Transactions,2018_Q3,Aggregate,Nil,Recharge and bill payments,102290514,31364311860,0,Nil,0,0
Transactions,2018_Q3,Aggregate,Nil,Merchant payments,25175938,12433150985,0,Nil,0,0
Transactions,2018_Q3,Aggregate,Nil,Financial Services,6218596,891447809,0,Nil,0,0
Transactions,2018_Q3,Aggregate,Nil,Others,5594554,4449556278,0,Nil,0,0
Transactions,2018_Q4,Aggregate,Nil,Peer-to-peer payments,200235002,595000000000,0,Nil,0,0
Transactions,2018_Q4,Aggregate,Nil,Recharge and bill payments,131917248,39578607327,0,Nil,0,0
Transactions,2018_Q4,Aggregate,Nil,Merchant payments,71498510,30497289208,0,Nil,0,0
Transactions,2018_Q4,Aggregate,Nil,Financial Services,5216165,868584632,0,Nil,0,0
Transactions,2018_Q4,Aggregate,Nil,Others,8246415,5802659774,0,Nil,0,0
Transactions,2019_Q1,Aggregate,Nil,Peer-to-peer payments,404841331,888000000000,0,Nil,0,0
Transactions,2019_Q1,Aggregate,Nil,Recharge and bill payments,180504739,55473071029,0,Nil,0,0
Transactions,2019_Q1,Aggregate,Nil,Merchant payments,110496541,40575915113,0,Nil,0,0
Transactions,2019_Q1,Aggregate,Nil,Financial Services,4627353,603852042,0,Nil,0,0
Transactions,2019_Q1,Aggregate,Nil,Others,8526177,5484252455,0,Nil,0,0
Transactions,2019_Q2,Aggregate,Nil,Peer-to-peer payments,384711008,1200000000000,0,Nil,0,0
Transactions,2019_Q2,Aggregate,Nil,Recharge and bill payments,209898072,76865848587,0,Nil,0,0
Transactions,2019_Q2,Aggregate,Nil,Merchant payments,206467182,73415840740,0,Nil,0,0
Transactions,2019_Q2,Aggregate,Nil,Financial Services,2650384,545329308,0,Nil,0,0
Transactions,2019_Q2,Aggregate,Nil,Others,11656557,6969423864,0,Nil,0,0
Transactions,2019_Q3,Aggregate,Nil,Peer-to-peer payments,461911865,1440000000000,0,Nil,0,0
Transactions,2019_Q3,Aggregate,Nil,Merchant payments,376320628,123000000000,0,Nil,0,0
Transactions,2019_Q3,Aggregate,Nil,Recharge and bill payments,240103872,102000000000,0,Nil,0,0
Transactions,2019_Q3,Aggregate,Nil,Financial Services,2870292,617120840,0,Nil,0,0
Transactions,2019_Q3,Aggregate,Nil,Others,13804992,6705143104,0,Nil,0,0
Transactions,2019_Q4,Aggregate,Nil,Peer-to-peer payments,703497002,1960000000000,0,Nil,0,0
Transactions,2019_Q4,Aggregate,Nil,Merchant payments,456578271,174000000000,0,Nil,0,0
Transactions,2019_Q4,Aggregate,Nil,Recharge and bill payments,285310032,116000000000,0,Nil,0,0
Transactions,2019_Q4,Aggregate,Nil,Financial Services,2476840,551204225,0,Nil,0,0
Transactions,2019_Q4,Aggregate,Nil,Others,12583379,4811822510,0,Nil,0,0
Transactions,2020_Q1,Aggregate,Nil,Peer-to-peer payments,693998661,2320000000000,0,Nil,0,0
Transactions,2020_Q1,Aggregate,Nil,Merchant payments,566355270,231000000000,0,Nil,0,0
Transactions,2020_Q1,Aggregate,Nil,Recharge and bill payments,351300991,140000000000,0,Nil,0,0
Transactions,2020_Q1,Aggregate,Nil,Financial Services,1358171,773848137,0,Nil,0,0
Transactions,2020_Q1,Aggregate,Nil,Others,10027019,4116905196,0,Nil,0,0
Transactions,2020_Q2,Aggregate,Nil,Peer-to-peer payments,631031364,2240000000000,0,Nil,0,0
Transactions,2020_Q2,Aggregate,Nil,Recharge and bill payments,448842692,172000000000,0,Nil,0,0
Transactions,2020_Q2,Aggregate,Nil,Merchant payments,363275861,227000000000,0,Nil,0,0
Transactions,2020_Q2,Aggregate,Nil,Financial Services,1682062,1751767444,0,Nil,0,0
Transactions,2020_Q2,Aggregate,Nil,Others,3779461,1987466180,0,Nil,0,0
Transactions,2020_Q3,Aggregate,Nil,Peer-to-peer payments,916790263,3290000000000,0,Nil,0,0
Transactions,2020_Q3,Aggregate,Nil,Merchant payments,672019839,405000000000,0,Nil,0,0
Transactions,2020_Q3,Aggregate,Nil,Recharge and bill payments,436172619,204000000000,0,Nil,0,0
Transactions,2020_Q3,Aggregate,Nil,Financial Services,2531978,2673063433,0,Nil,0,0
Transactions,2020_Q3,Aggregate,Nil,Others,5541374,2789907564,0,Nil,0,0
Transactions,2020_Q4,Aggregate,Nil,Peer-to-peer payments,1249512647,4470000000000,0,Nil,0,0
Transactions,2020_Q4,Aggregate,Nil,Merchant payments,1127490136,685000000000,0,Nil,0,0
Transactions,2020_Q4,Aggregate,Nil,Recharge and bill payments,479784084,228000000000,0,Nil,0,0
Transactions,2020_Q4,Aggregate,Nil,Financial Services,2942567,3259168196,0,Nil,0,0
Transactions,2020_Q4,Aggregate,Nil,Others,9556404,5323095366,0,Nil,0,0
Transactions,2021_Q1,Aggregate,Nil,Merchant payments,1467948823,844000000000,0,Nil,0,0
Transactions,2021_Q1,Aggregate,Nil,Peer-to-peer payments,1447600942,5170000000000,0,Nil,0,0
Transactions,2021_Q1,Aggregate,Nil,Recharge and bill payments,530118545,260000000000,0,Nil,0,0
Transactions,2021_Q1,Aggregate,Nil,Financial Services,3075296,3573884779,0,Nil,0,0
Transactions,2021_Q1,Aggregate,Nil,Others,8851525,5199901892,0,Nil,0,0
Transactions,2021_Q2,Aggregate,Nil,Peer-to-peer payments,1744272888,6160000000000,0,Nil,0,0
Transactions,2021_Q2,Aggregate,Nil,Merchant payments,1499626469,1000000000000,0,Nil,0,0
Transactions,2021_Q2,Aggregate,Nil,Recharge and bill payments,685024821,301000000000,0,Nil,0,0
Transactions,2021_Q2,Aggregate,Nil,Financial Services,3397384,3651996523,0,Nil,0,0
Transactions,2021_Q2,Aggregate,Nil,Others,9061732,5598131365,0,Nil,0,0
Transactions,2021_Q3,Aggregate,Nil,Merchant payments,2316924871,1430000000000,0,Nil,0,0
Transactions,2021_Q3,Aggregate,Nil,Peer-to-peer payments,2215575286,7430000000000,0,Nil,0,0
Transactions,2021_Q3,Aggregate,Nil,Recharge and bill payments,714583744,349000000000,0,Nil,0,0
Transactions,2021_Q3,Aggregate,Nil,Financial Services,3112160,4043342762,0,Nil,0,0
Transactions,2021_Q3,Aggregate,Nil,Others,13558464,7146868847,0,Nil,0,0
Transactions,2021_Q4,Aggregate,Nil,Merchant payments,3152394530,2000000000000,0,Nil,0,0
Transactions,2021_Q4,Aggregate,Nil,Peer-to-peer payments,2716561423,9200000000000,0,Nil,0,0
Transactions,2021_Q4,Aggregate,Nil,Recharge and bill payments,738096162,407000000000,0,Nil,0,0
Transactions,2021_Q4,Aggregate,Nil,Financial Services,4141629,5028434834,0,Nil,0,0
Transactions,2021_Q4,Aggregate,Nil,Others,14562602,9296993479,0,Nil,0,0
Transactions,2022_Q1,Aggregate,Nil,Merchant payments,3748851071,2270000000000,0,Nil,0,0
Transactions,2022_Q1,Aggregate,Nil,Peer-to-peer payments,3074250150,10500000000000,0,Nil,0,0
Transactions,2022_Q1,Aggregate,Nil,Recharge and bill payments,749674246,448000000000,0,Nil,0,0
Transactions,2022_Q1,Aggregate,Nil,Financial Services,4035100,4921211866,0,Nil,0,0
Transactions,2022_Q1,Aggregate,Nil,Others,16393502,8422766458,0,Nil,0,0
Transactions,2022_Q2,Aggregate,Nil,Merchant payments,4765203787,2850000000000,0,Nil,0,0
Transactions,2022_Q2,Aggregate,Nil,Peer-to-peer payments,3506141323,12100000000000,0,Nil,0,0
Transactions,2022_Q2,Aggregate,Nil,Recharge and bill payments,845751926,523000000000,0,Nil,0,0
Transactions,2022_Q2,Aggregate,Nil,Financial Services,3272822,3889787480,0,Nil,0,0
Transactions,2022_Q2,Aggregate,Nil,Others,11241480,6711034131,0,Nil,0,0
Transactions,2022_Q3,Aggregate,Nil,Merchant payments,5618132071,3150000000000,0,Nil,0,0
Transactions,2022_Q3,Aggregate,Nil,Peer-to-peer payments,3957113406,12800000000000,0,Nil,0,0
Transactions,2022_Q3,Aggregate,Nil,Recharge and bill payments,956164949,607000000000,0,Nil,0,0
Transactions,2022_Q3,Aggregate,Nil,Financial Services,3959631,4514223164,0,Nil,0,0
Transactions,2022_Q3,Aggregate,Nil,Others,10005043,6725900103,0,Nil,0,0
Transactions,2022_Q4,Aggregate,Nil,Merchant payments,6565690145,3670000000000,0,Nil,0,0
Transactions,2022_Q4,Aggregate,Nil,Peer-to-peer payments,4459859921,14600000000000,0,Nil,0,0
Transactions,2022_Q4,Aggregate,Nil,Recharge and bill payments,991049281,650000000000,0,Nil,0,0
Transactions,2022_Q4,Aggregate,Nil,Financial Services,4623387,5360528394,0,Nil,0,0
Transactions,2022_Q4,Aggregate,Nil,Others,10013085,7361492607,0,Nil,0,0
Transactions,2023_Q1,Aggregate,Nil,Merchant payments,7205999708,3750000000000,0,Nil,0,0
Transactions,2023_Q1,Aggregate,Nil,Peer-to-peer payments,4792478560,15900000000000,0,Nil,0,0
Transactions,2023_Q1,Aggregate,Nil,Recharge and bill payments,1076952638,830000000000,0,Nil,0,0
Transactions,2023_Q1,Aggregate,Nil,Financial Services,4884759,5673343900,0,Nil,0,0
Transactions,2023_Q1,Aggregate,Nil,Others,10259195,7571900579,0,Nil,0,0
Transactions,2023_Q2,Aggregate,Nil,Merchant payments,8529595637,4280000000000,0,Nil,0,0
Transactions,2023_Q2,Aggregate,Nil,Peer-to-peer payments,5374546962,17700000000000,0,Nil,0,0
Transactions,2023_Q2,Aggregate,Nil,Recharge and bill payments,1190947064,905000000000,0,Nil,0,0
