District_Name,State_Name,LONGITUDE,LATITUDE
Bengaluru Urban,Karnataka,78,13
Pune,Maharashtra,74,19
Jaipur,Rajasthan,76,27
Mumbai Suburban,Maharashtra,73,19
Hyderabad,Telangana,78,17
Rangareddy,Telangana,78,17
Thane,Maharashtra,73,19
Ahmadabad,Gujarat,73,23
Medchal Malkajgiri,Telangana,79,18
Visakhapatnam,Andhra Pradesh,83,18
Surat,Gujarat,73,21
North Twenty Four Parganas,West bengal,89,23
South Andaman,Andaman Nicobar,93,11
North And Middle Andaman,Andaman Nicobar,93,13
Nicobars,Andaman Nicobar,94,7
East Godavari,Andhra Pradesh,82,17
Krishna,Andhra Pradesh,81,17
Guntur,Andhra Pradesh,80,16
Chittoor,Andhra Pradesh,79,13
Anantapur,Andhra Pradesh,78,15
Kurnool,Andhra Pradesh,78,16
West Godavari,Andhra Pradesh,81,17
Spsr Nellore,Andhra Pradesh,80,14
Prakasam,Andhra Pradesh,80,16
Papum Pare,Arunachal Pradesh,94,27
West Kameng,Arunachal Pradesh,92,27
East Siang,Arunachal Pradesh,95,28
Tawang,Arunachal Pradesh,92,28
Changlang,Arunachal Pradesh,96,27
Lohit,Arunachal Pradesh,96,28
West Siang,Arunachal Pradesh,95,28
Namsai,Arunachal Pradesh,96,28
Lower Dibang Valley,Arunachal Pradesh,96,28
Upper Subansiri,Arunachal Pradesh,94,28
Tirap,Arunachal Pradesh,96,27
Lower Subansiri,Arunachal Pradesh,94,28
Kamrup Metropolitan,Assam,92,26
Dibrugarh,Assam,95,27
Barpeta,Assam,91,26
Nagaon,Assam,93,26
Cachar,Assam,93,25
Sonitpur,Assam,93,27
Jorhat,Assam,94,27
Tinsukia,Assam,95,27
Kamrup,Assam,92,26
Dhubri,Assam,90,26
Golaghat,Assam,94,27
Patna,Bihar,85,26
Muzaffarpur,Bihar,85,26
Gaya,Bihar,85,25
Purbi Champaran,Bihar,85,27
Samastipur,Bihar,86,26
Bhagalpur,Bihar,87,25
Nalanda,Bihar,86,25
Darbhanga,Bihar,86,26
Vaishali,Bihar,85,26
Pashchim Champaran,Bihar,85,27
Saran,Bihar,85,26
Madhubani,Bihar,86,26
Chandigarh,Chandigarh,77,31
Raipur,Chhattisgarh,82,21
Durg,Chhattisgarh,81,21
Bilaspur,Himachal Pradesh,77,31
Raigarh,Chhattisgarh,83,22
Janjgir Champa,Chhattisgarh,82,22
Korba,Chhattisgarh,83,22
Rajnandgaon,Chhattisgarh,81,21
Surguja,Chhattisgarh,83,23
Baloda Bazar,Chhattisgarh,82,22
Mahasamund,Chhattisgarh,82,21
Dadra And Nagar Haveli,Dadra Nagar Haveli and Daman Diu,73,20
Daman,Dadra Nagar Haveli and Daman Diu,73,20
Diu,Dadra Nagar Haveli and Daman Diu,71,21
West,Sikkim,88,27
South East Delhi,Delhi,77,29
North West,Delhi,77,29
New Delhi,Delhi,77,29
Central Delhi,Delhi,77,29
South West,Delhi,77,29
North,Sikkim,89,28
East,Sikkim,89,27
South,Sikkim,88,27
Shahdara,Delhi,77,29
North Goa,Goa,74,15
South Goa,Goa,74,15
Vadodara,Gujarat,73,22
Rajkot,Gujarat,71,22
Gandhinagar,Gujarat,73,23
Bharuch,Gujarat,73,22
Kachchh,Gujarat,70,23
Mahesana,Gujarat,72,24
Banas Kantha,Gujarat,72,24
Bhavnagar,Gujarat,72,22
Valsad,Gujarat,73,21
Gurugram,Delhi,77,28
Faridabad,Haryana,77,28
Hisar,Haryana,76,29
Rewari,Haryana,77,28
Sonipat,Haryana,77,29
Panipat,Haryana,77,29
Karnal,Haryana,77,30
Sirsa,Haryana,75,30
Rohtak,Haryana,77,29
Bhiwani,Haryana,76,29
Ambala,Haryana,77,30
Jhajjar,Haryana,77,29
Palwal,Haryana,77,28
Solan,Himachal Pradesh,77,31
Kangra,Himachal Pradesh,76,32
Shimla,Himachal Pradesh,77,31
Mandi,Himachal Pradesh,77,32
Sirmaur,Himachal Pradesh,77,31
Hamirpur,Himachal Pradesh,77,32
Kullu,Himachal Pradesh,77,32
Una,Himachal Pradesh,76,31
Chamba,Himachal Pradesh,76,33
Jammu,Jammu and Kashmir,75,33
Srinagar,Jammu and Kashmir,75,34
Baramulla,Jammu and Kashmir,75,34
Budgam,Jammu and Kashmir,75,34
Anantnag,Jammu and Kashmir,75,34
Udhampur,Jammu and Kashmir,75,33
Pulwama,Jammu and Kashmir,75,34
Kathua,Jammu and Kashmir,76,32
Kupwara,Jammu and Kashmir,74,35
Samba,Jammu and Kashmir,75,33
