Pincode,State_Name,District_Name,City,LONGITUDE,LATITUDE
110001,Delhi,Central Delhi,Baroda House,77.2069,28.6978
110006,Delhi,Central Delhi,Hauz Qazi,77.2278,28.6491
110009,Delhi,North West,G T B Nagar,77.2069,28.6978
110011,Delhi,Central Delhi,Gym Khana club,77.2042,28.5981
110017,Delhi,South West,Malviya Nagar,77.2094,28.5342
110025,Delhi,South East Delhi,Jamia Nagar,77.2956,28.5539
110037,Delhi,South West,Gurgaon Road,77.0799,28.4796
110041,Delhi,North West,Tikri Kalan,76.965,28.6826
110042,Delhi,North West,Pehlad Pur,77.2918,28.4994
110043,Delhi,South West,Najafgarh,76.9855,28.609
110044,Delhi,South East Delhi,Badarpur,77.2986,28.5102
110053,Delhi,North East,Bhajan Pura,77.2592,28.7005
110059,Delhi,North West,Uttam Ngar,77.055,28.6196
110084,Delhi,North West,Burari,77.1946,28.7583
110085,Delhi,North West,Rithala,77.1007,28.7192
110086,Delhi,North West,Begumpur,77.0609,28.7239
110091,Delhi,South East Delhi,Chilla,77.2945,28.6078
110092,Delhi,South East Delhi,Anand Vihar,77.3027,28.6502
110094,Delhi,North East,Dayalpur,77.2717,28.7204
110096,Delhi,South East Delhi,Ghazipur,77.3218,28.6262
121001,Haryana,Faridabad,Faridabad,77.3178,28.4089
121002,Haryana,Faridabad,Sector 16A,77.3185,28.4061
121003,Haryana,Faridabad,Tilpat,77.3339,28.4637
121004,Haryana,Faridabad,Ballabgarh,77.3206,28.3388
121005,Haryana,Faridabad,Jawahar Colony,77.2847,28.367
121008,Haryana,Faridabad,Sector 29,77.0663,28.4669
121102,Haryana,Faridabad,Palwal,77.326,28.1473
122001,Delhi,Gurugram,Sector 17,77.0608,28.4791
122002,Delhi,Gurugram,Chakkarpur,77.0895,28.472
122003,Delhi,Gurugram,Sector 45,77.066,28.4466
122004,Delhi,Gurugram,Khandsa,76.9999,28.4223
122006,Delhi,Gurugram,Tikampur,76.9946,28.4925
122016,Delhi,Gurugram,Dundahera,77.0802,28.5134
122051,Delhi,Gurugram,Manesar,76.9428,28.3515
123401,Haryana,Rewari,Jatusana,76.5393,28.3323
124001,Haryana,Rohtak,Hissar Road,75.7211,29.1519
125001,Haryana,Hisar,Sector 14,75.7075,29.1726
131001,Haryana,Sonipat,Kakroi,76.9571,28.9604
132001,Haryana,Karnal,Karnal NDRI,76.9905,29.6857
132103,Haryana,Panipat,Panipat City,76.9635,29.3909
140301,Punjab,Sas Nagar,Kharar,76.6411,30.7499
140308,Punjab,Sas Nagar,Mohali,76.7179,30.7046
140603,Punjab,Patiala,Zirkapur,76.8173,30.6425
141001,Punjab,Ludhiana,Bharat Nagar Chowk,75.8414,30.9044
141003,Punjab,Ludhiana,Shimlapuri,75.8803,30.8659
141007,Punjab,Ludhiana,Basti Jodhewal,75.8664,30.9313
141008,Punjab,Ludhiana,Central Post Office,75.8475,30.9183
141010,Punjab,Ludhiana,Moti Nagar,75.8897,30.8964
141017,Punjab,Ludhiana,Jugiana,75.9376,30.8469
143001,Punjab,Amritsar,Amritsar G P O,74.8664,31.6377
144001,Punjab,Jalandhar,Jalandhar City,75.5762,31.326
144411,Punjab,Kapurthala,Madhopur,75.5973,32.3653
145001,Punjab,Pathankot,Mamoon,75.7005,32.2854
147001,Punjab,Patiala,Allowal,75.4854,31.1539
151001,Punjab,Bathinda,Balluana,74.782,30.2236
152116,Punjab,Fazilka,Abohar,74.2008,30.1469
160008,Punjab,Chandigarh,Sector 8,76.8,30.7416
160017,Punjab,Chandigarh,Chandigarh G P O,76.7836,30.7419
160066,Punjab,Sas Nagar,Aero City,76.7873,30.6252
160101,Punjab,Chandigarh,Kishangarh,76.8255,30.7311
171001,Himachal Pradesh,Shimla,Shimla G P O,77.1717,31.1055
171003,Himachal Pradesh,Shimla,AHQ,77.1734,31.1045
172001,Himachal Pradesh,Shimla,Duttnagar,77.5806,31.3934
173001,Himachal Pradesh,Sirmaur,Panjhal,77.3655,30.588
173025,Himachal Pradesh,Sirmaur,Banaur,77.7423,30.5808
173030,Himachal Pradesh,Sirmaur,Palion,77.1787,30.5639
173205,Himachal Pradesh,Solan,Baddi,76.7914,30.9578
173212,Himachal Pradesh,Solan,Solan,77.0999,30.9084
173220,Himachal Pradesh,Solan,Parwanoo,76.9584,30.8406
174005,Himachal Pradesh,Hamirpur,Raghunath Pura,76.7231,31.3018
174101,Himachal Pradesh,Solan,Nalagarh,76.7026,31.0461
174303,Himachal Pradesh,Una,Barnoh,76.2864,31.5062
175001,Himachal Pradesh,Mandi,Tarnoh,76.9225,31.7731
175101,Himachal Pradesh,Mandi,Kais,77.1543,31.9998
175105,Himachal Pradesh,Kullu,Malana,77.2613,32.0617
175131,Himachal Pradesh,Kullu,Manali,77.1892,32.2432
176001,Himachal Pradesh,Kangra,Kangra,76.2731,32.1015
176038,Himachal Pradesh,Kangra,Daulatpur,76.258,32.0539
176061,Himachal Pradesh,Kangra,Bhadraina,76.5362,32.1109
176215,Himachal Pradesh,Kangra,Dharamshala,76.3234,32.219
176310,Himachal Pradesh,Chamba,Chowgan Mohalla,76.1276,32.5592
176323,Himachal Pradesh,Chamba,Bistholuj,76.128,32.5616
177001,Himachal Pradesh,Hamirpur,Bhira,76.5688,31.6339
177005,Himachal Pradesh,Hamirpur,NIT Hamirpur,76.5274,31.7084
177220,Himachal Pradesh,Una,Palakwah,76.2494,31.3962
180001,Jammu and Kashmir,Jammu,Jammu,74.857,32.7266
180004,Jammu and Kashmir,Jammu,Gandhinagar,74.8596,32.7014
180005,Jammu and Kashmir,Jammu,Subash Nagar,74.8456,32.745
180011,Jammu and Kashmir,Jammu,Chowadi,74.9282,32.6813
180012,Jammu and Kashmir,Jammu,Railway Station,74.8795,32.7059
180020,Jammu and Kashmir,Jammu,Trikuta Nagar,74.8784,32.6968
181133,Jammu and Kashmir,Jammu,Bari Brahmna,74.9141,32.6365
181201,Jammu and Kashmir,Jammu,Akhnoor,74.7355,32.897
181221,Jammu and Kashmir,Jammu,Jagti,74.9063,32.8206
182101,Jammu and Kashmir,Udhampur,Udhampur,75.1326,32.916
182146,Jammu and Kashmir,Udhampur,Kaskoot,75.1852,33.4524
182301,Jammu and Kashmir,Udhampur,Adhkawari,74.9452,33.0081
184121,Jammu and Kashmir,Samba,Samba,75.1108,32.553
185101,Jammu and Kashmir,Poonch,Poonch,74.3118,33.762
185102,Jammu and Kashmir,Poonch,Sawjian,74.2942,33.8414
185131,Jammu and Kashmir,Rajouri,Bathuni,74.3196,33.3206
190001,Jammu and Kashmir,Srinagar,Srinagar G P O,74.8235,34.0716
190002,Jammu and Kashmir,Srinagar,Safakadal,74.7916,34.0944
190011,Jammu and Kashmir,Srinagar,Noushera,74.2443,33.1604
191111,Jammu and Kashmir,Budgam,Budgam,74.64,33.9349
191131,Jammu and Kashmir,Srinagar,Karhama,74.5191,34.0628
192101,Jammu and Kashmir,Anantnag,Anantnag,75.1487,33.7311
192201,Jammu and Kashmir,Anantnag,Dethunagnarian,75.3353,33.7051
192231,Jammu and Kashmir,Pulwama,Kulgam,75.018,33.645
192301,Jammu and Kashmir,Pulwama,Romoh,74.8973,33.9227
193101,Jammu and Kashmir,Baramulla,Baramulla,74.3499,34.199
