Stat Type,Year,Category,State,State Name,State Users,District Name,District Users,Pincode,Pincode Users,State Count,State Amount,District Count,District Amount,Pincode Count,Pincode Amount
Users,2018_Q1,Top,Nil,Maharashtra,6106994,Bengaluru Urban,1922368,201301,114625,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,Uttar Pradesh,4694250,Pune,1211643,500072,105012,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,Karnataka,3717763,Jaipur,900773,560068,98487,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,Andhra Pradesh,3336450,Mumbai Suburban,719300,110059,95496,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,Telangana,3315560,Hyderabad,655175,110092,83600,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,Rajasthan,3158202,Rangareddy,635175,122001,82656,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,Gujarat,2690048,Thane,631864,560037,75304,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,West Bengal,2604789,Ahmadabad,572811,395006,72275,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,Madhya Pradesh,2553603,Medchal Malkajgiri,549429,800001,71092,0,0,0,0,0,0
Users,2018_Q1,Top,Nil,Bihar,2133804,Visakhapatnam,497187,302012,68098,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Maharashtra,8222371,Bengaluru Urban,2553312,201301,151073,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Uttar Pradesh,6442554,Pune,1592293,500072,129543,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Karnataka,5030665,Jaipur,1182983,560068,128921,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Andhra Pradesh,4402540,Mumbai Suburban,957633,110059,124901,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Telangana,4260115,Thane,861292,110092,108175,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Rajasthan,4212964,Hyderabad,842483,122001,107275,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,West Bengal,3833795,Rangareddy,804959,800001,94711,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Gujarat,3565825,Ahmadabad,751746,395006,94500,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Madhya Pradesh,3441662,Medchal Malkajgiri,696211,560037,93771,0,0,0,0,0,0
Users,2018_Q2,Top,Nil,Bihar,3005872,Surat,652372,302012,89071,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Maharashtra,10435033,Bengaluru Urban,3167597,201301,188664,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Uttar Pradesh,8096483,Pune,1974138,110059,156028,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Karnataka,6372649,Jaipur,1438305,500072,152034,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Andhra Pradesh,5427617,Mumbai Suburban,1218632,560068,151862,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Rajasthan,5175453,Thane,1104206,110092,136676,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Telangana,5138501,Hyderabad,1024241,122001,130847,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,West Bengal,4851740,Rangareddy,963186,395006,113391,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Gujarat,4433183,Ahmadabad,919252,302012,107088,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Madhya Pradesh,4309309,Medchal Malkajgiri,828425,560037,106572,0,0,0,0,0,0
Users,2018_Q3,Top,Nil,Tamil Nadu,3900177,Surat,808005,800001,106255,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Maharashtra,13381602,Bengaluru Urban,4126734,201301,250205,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Uttar Pradesh,10341964,Pune,2498852,110059,206537,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Karnataka,8315802,Jaipur,1733893,560068,201605,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Andhra Pradesh,6857409,Mumbai Suburban,1578487,110092,177133,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Telangana,6529679,Thane,1473811,500072,175163,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Rajasthan,6358738,Hyderabad,1336872,122001,163556,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,West Bengal,6279278,Rangareddy,1217664,560037,137280,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Gujarat,5579040,Ahmadabad,1212636,800001,134254,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Madhya Pradesh,5365442,Medchal Malkajgiri,1056739,110086,133412,0,0,0,0,0,0
Users,2018_Q4,Top,Nil,Tamil Nadu,5199878,Surat,998807,110085,132600,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Maharashtra,16284451,Bengaluru Urban,5003207,201301,301260,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Uttar Pradesh,12458661,Pune,3038402,110059,246566,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Karnataka,10266174,Jaipur,2060175,560068,237280,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Andhra Pradesh,8283019,Mumbai Suburban,1901210,500072,221180,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Telangana,7963425,Thane,1834051,110092,206805,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Rajasthan,7712204,Hyderabad,1638436,122001,194366,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,West Bengal,7449425,Rangareddy,1470874,110086,158267,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Gujarat,6652536,Ahmadabad,1450100,560078,157977,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Madhya Pradesh,6414403,Medchal Malkajgiri,1279531,395006,157558,0,0,0,0,0,0
Users,2019_Q1,Top,Nil,Tamil Nadu,6296303,Surat,1180819,560076,157367,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Maharashtra,18776975,Bengaluru Urban,5694165,201301,336709,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Uttar Pradesh,14316349,Pune,3514081,110059,274593,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Karnataka,11968087,Jaipur,2290462,560068,263531,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Andhra Pradesh,9389003,Mumbai Suburban,2151657,500072,242007,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Telangana,9046007,Thane,2118406,110092,228546,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Rajasthan,8783935,Hyderabad,1856926,122001,217913,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,West Bengal,8612795,Ahmadabad,1656341,421302,182371,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Gujarat,7574645,Rangareddy,1651300,395006,180042,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Tamil Nadu,7429609,Medchal Malkajgiri,1428880,560078,178837,0,0,0,0,0,0
Users,2019_Q2,Top,Nil,Madhya Pradesh,7301172,Surat,1338584,110086,177199,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Maharashtra,21313081,Bengaluru Urban,6383771,201301,369425,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Uttar Pradesh,16044607,Pune,4004991,110059,300007,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Karnataka,13635075,Jaipur,2520933,560068,289417,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Andhra Pradesh,10458693,Mumbai Suburban,2407754,500072,261019,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Telangana,10090557,Thane,2396815,110092,248727,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Rajasthan,9797304,Hyderabad,2071673,122001,239679,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,West Bengal,9643222,Ahmadabad,1848860,421302,208109,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Gujarat,8429299,Rangareddy,1826019,395006,198132,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Tamil Nadu,8428835,Medchal Malkajgiri,1572320,110086,194575,0,0,0,0,0,0
Users,2019_Q3,Top,Nil,Madhya Pradesh,8180664,Surat,1481391,800001,194197,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,Maharashtra,23745297,Bengaluru Urban,7016836,201301,398548,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,Uttar Pradesh,17949542,Pune,4416899,110059,320535,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,Karnataka,15385416,Jaipur,2746860,560068,313673,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,Andhra Pradesh,11757883,Thane,2638051,500072,279498,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,Telangana,11220691,Mumbai Suburban,2630360,110092,264380,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,Rajasthan,10925031,Hyderabad,2283903,122001,258880,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,West Bengal,10885058,Ahmadabad,2015947,421302,243170,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,Tamil Nadu,9620493,Rangareddy,2001437,560078,218317,0,0,0,0,0,0
Users,2019_Q4,Top,Nil,Gujarat,9323799,Medchal Malkajgiri,1714832,395006,214322,0,0,0,0,0,0
